"SS Tiwary","hit wicket",1
"P Negi","lbw",1
"RV Gomez","caught",3
"IK Pathan","caught",31
"SE Marsh","caught and bowled",3
"JP Faulkner","caught",18
"DL Vettori","caught and bowled",1
"S Sriram","caught",1
"GJ Maxwell","caught and bowled",1
"B Sumanth","bowled",1
"KB Arun Karthik","stumped",1
"MR Marsh","run out",1
"Shivam Sharma","bowled",1
"S Anirudha","caught",4
"Imran Tahir","run out",1
"Mandeep Singh","stumped",5
"CL White","stumped",1
"Abhishek Sharma","bowled",1
"DB Ravi Teja","caught",9
"TM Head","run out",1
"SP Fleming","bowled",2
"Mohammed Shami","caught",6
"MS Dhoni","run out",22
"RP Singh","caught",5
"Pankaj Singh","bowled",1
"UT Khawaja","caught",3
"KM Jadhav","lbw",5
"KL Rahul","stumped",2
"AA Bilakhia","stumped",1
"BB McCullum","bowled",17
"TS Mills","bowled",1
"M Kaif","stumped",2
"RE van der Merwe","caught",5
"KA Pollard","bowled",17
"HH Gibbs","run out",3
"PK Garg","caught",5
"Sunny Singh","caught",3
"SR Tendulkar","bowled",12
"AB McDonald","bowled",1
"Shahid Afridi","caught",7
"PA Reddy","caught",6
"GC Smith","stumped",2
"TA Boult","bowled",2
"Ishan Kishan","bowled",6
"DH Yagnik","caught",3
"N Rana","run out",4
"Gurkeerat Singh","bowled",4
"Sachin Baby","lbw",1
"PK Garg","run out",1
"KP Pietersen","retired hurt",1
"C de Grandhomme","stumped",1
"E Lewis","stumped",1
"AP Dole","caught",2
"SPD Smith","run out",10
"MN Samuels","caught",5
"Joginder Sharma","caught and bowled",1
"T Taibu","run out",1
"SV Samson","stumped",3
"DL Chahar","caught",5
"BB McCullum","stumped",3
"DR Martyn","bowled",1
"Sachin Baby","caught and bowled",1
"R Dhawan","bowled",1
"P Chopra","caught",1
"CJ Anderson","bowled",4
"MJ Clarke","caught",1
"Arshdeep Singh","caught",1
"B Chipli","caught",10
"R Sharma","bowled",4
"R Bhatia","run out",4
"KK Nair","caught and bowled",1
"GJ Bailey","lbw",1
"MS Gony","bowled",4
"AC Thomas","bowled",1
"DB Das","caught and bowled",1
"S Nadeem","run out",4
"Yuvraj Singh","caught and bowled",2
"A Mishra","bowled",9
"K Goel","lbw",1
"KH Pandya","retired hurt",1
"KV Sharma","run out",3
"VVS Laxman","run out",1
"RD Gaikwad","lbw",1
"EJG Morgan","run out",6
"VVS Laxman","retired hurt",1
"M Vijay","bowled",19
"A Mishra","lbw",1
"DL Vettori","bowled",4
"P Negi","stumped",2
"M Rawat","caught",3
"AB Dinda","bowled",3
"AJ Finch","bowled",22
"ST Jayasuriya","bowled",2
"KC Sangakkara","caught and bowled",4
"M Kartik","bowled",1
"YV Takawale","bowled",2
"MD Mishra","run out",1
"AC Gilchrist","caught and bowled",2
"NV Ojha","run out",5
"I Sharma","run out",2
"J Botha","caught",9
"A Chandila","run out",1
"Azhar Mahmood","lbw",3
"NJ Maddinson","bowled",2
"Gurkeerat Singh","caught and bowled",2
"RK Singh","bowled",1
"J Botha","bowled",4
"ST Jayasuriya","caught and bowled",1
"PP Shaw","run out",1
"S Dube","run out",2
"WD Parnell","bowled",2
"Abdul Samad","caught",5
"AP Tare","bowled",4
"JC Archer","caught",9
"RR Powar","run out",1
"LRPL Taylor","bowled",6
"DL Vettori","caught",1
"AJ Tye","caught",5
"CA Lynn","caught and bowled",3
"LJ Wright","caught",4
"Yuvraj Singh","hit wicket",1
"SN Khan","lbw",1
"AA Bilakhia","caught",2
"M Morkel","stumped",1
"JD Ryder","bowled",7
"SA Asnodkar","run out",5
"AA Jhunjhunwala","run out",4
"MJ Clarke","stumped",1
"DB Das","bowled",4
"MEK Hussey","bowled",15
"RD Gaikwad","stumped",1
"Mandeep Singh","lbw",2
"KM Jadhav","run out",7
"CJ Jordan","caught and bowled",1
"R Vinay Kumar","caught",13
"AD Mathews","run out",4
"YK Pathan","stumped",2
"A Mishra","obstructing the field",1
"JC Buttler","bowled",7
"A Uniyal","bowled",1
"A Symonds","run out",3
"Joginder Sharma","run out",1
"AP Tare","caught",17
"MC Juneja","run out",1
"MA Agarwal","run out",2
"RR Rossouw","caught",1
"R Dravid","bowled",16
"RR Rossouw","bowled",3
"JJ Roy","bowled",2
"R Dravid","caught and bowled",5
"JJ Bumrah","run out",2
"AC Thomas","run out",1
"AB McDonald","caught",3
"CA Pujara","lbw",1
"CA Ingram","lbw",2
"JC Buttler","caught",32
"S Badrinath","lbw",4
"SN Khan","run out",4
"MG Johnson","run out",1
"V Sehwag","caught",70
"STR Binny","lbw",3
"Umar Gul","caught",2
"KW Richardson","caught and bowled",1
"ST Jayasuriya","run out",2
"T Thushara","caught",1
"D Wiese","caught",4
"YK Pathan","lbw",5
"DA Miller","stumped",2
"AM Rahane","run out",8
"KK Nair","stumped",2
"DB Ravi Teja","stumped",1
"PR Shah","caught",6
"SC Ganguly","stumped",2
"YS Chahal","caught",3
"MA Agarwal","caught",52
"AF Milne","run out",1
"Jaskaran Singh","run out",1
"SL Malinga","bowled",5
"KK Nair","run out",4
"Mohammed Shami","bowled",1
"AS Raut","run out",4
"AC Voges","caught",4
"STR Binny","caught and bowled",1
"V Sehwag","stumped",1
"M Ashwin","run out",1
"YK Pathan","caught",76
"B Chipli","bowled",4
"LRPL Taylor","run out",3
"Sachin Baby","caught",5
"MJ Lumb","stumped",2
"HM Amla","caught and bowled",1
"A Mukund","bowled",2
"P Negi","run out",4
"MN Samuels","bowled",5
"MJ Guptill","caught",10
"MC Juneja","lbw",1
"DJ Harris","caught",3
"DJ Bravo","run out",1
"H Das","run out",1
"M Markande","caught",1
"A Chopra","lbw",1
"ST Jayasuriya","caught",19
"SB Joshi","run out",1
"R Dhawan","caught",2
"RR Pant","run out",5
"V Sehwag","caught and bowled",2
"Harbhajan Singh","lbw",6
"VVS Laxman","caught and bowled",2
"R Dravid","stumped",1
"CV Varun","run out",1
"SP Goswami","caught",15
"SW Billings","lbw",1
"NV Ojha","stumped",3
"RP Singh","bowled",4
"Pankaj Singh","caught",1
"CK Langeveldt","bowled",2
"MJ Guptill","lbw",2
"R Rampaul","caught",4
"DA Warner","run out",10
"Salman Butt","bowled",1
"M Rawat","bowled",1
"Kamran Akmal","caught",3
"Sohail Tanvir","caught",2
"CH Gayle","stumped",3
"KM Jadhav","bowled",5
"AD Russell","run out",3
"DJG Sammy","lbw",2
"KD Karthik","lbw",14
"JR Philippe","caught",2
"A Symonds","stumped",2
"MC Juneja","caught",5
"M Ntini","bowled",1
"YK Pathan","obstructing the field",1
"MS Wade","bowled",2
"D Wiese","run out",1
"C Munro","bowled",2
"MP Stoinis","run out",3
"AR Patel","stumped",2
"MK Pandey","run out",5
"UT Khawaja","stumped",1
"PK Garg","bowled",3
"KM Jadhav","stumped",1
"S Dhawan","retired hurt",1
"J Botha","lbw",3
"AD Russell","bowled",10
"M Vijay","caught",52
"MC Henriques","caught",20
"MJ Clarke","run out",1
"R Tewatia","run out",1
"CJ Ferguson","caught",1
"MV Boucher","bowled",3
"G Gambhir","lbw",7
"Shivam Mavi","caught",3
"B Kumar","caught and bowled",1
"S Randiv","caught",1
"SP Fleming","lbw",1
"AD Nath","caught",8
"DA Miller","caught",34
"DNT Zoysa","bowled",1
"PC Valthaty","caught",18
"R Ashwin","caught",24
"M Kaif","bowled",3
"KC Sangakkara","stumped",3
"R Sharma","caught",6
"JH Kallis","run out",9
"KK Nair","lbw",7
"JP Faulkner","run out",2
"BJ Hodge","lbw",6
"Kuldeep Yadav","bowled",1
"CR Brathwaite","lbw",1
